Fe,Cu,species,Si_Al,calcination_temp,calcination_time,Aging_O2,Aging_H2O,Aging_CO2,Aging_Temp,Aging_Time,NO,NH3,O2,H2O,GHSV,Measurement_Temp,Conversion
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.83844911147,76.5770961129039
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,650.726978998384,59.4372973207831
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,199.174917491749,15.4634922255112
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,249.504950495049,33.2729406961314
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,299.834983498349,61.9071314347929
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,350.16501650165,88.2217345445884
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,399.669966996699,94.1750876118539
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,497.854785478547,96.2875540131332
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,598.514851485148,84.2260385832397
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,0.5,1000.0,1000.0,10.0,5.0,0.52,650.49504950495,65.4383995100541
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,200.82508250825,13.9179510734578
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,249.504950495049,28.6337654383995
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,300.6600660066,54.4333299309312
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,349.339933993399,84.3553298628832
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,399.669966996699,92.3709639005137
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,501.155115511551,96.5469871729441
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,600.16501650165,84.7423531012895
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,1.0,1000.0,1000.0,10.0,5.0,0.52,651.320132013201,65.438824810316
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,200.0,11.8556701030927
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,249.504950495049,21.9327345105644
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,299.834983498349,44.8968221564424
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,349.339933993399,79.4584226463883
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,400.49504950495,92.1136572420128
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,500.3300330033,95.0001701201048
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,598.514851485148,86.5456262121057
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,2.0,1000.0,1000.0,10.0,5.0,0.52,650.49504950495,69.0466469327345
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,200.0,9.79381443298967
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,248.679867986798,18.324061787622
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,299.009900990099,38.4530978871082
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,350.16501650165,73.7887448538668
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,400.49504950495,92.3713892007757
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,498.679867986798,97.5766391072096
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,599.339933993399,89.8965669762852
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,4.0,1000.0,1000.0,10.0,5.0,0.52,649.669966996699,72.39673709639
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,198.349834983498,8.24657207988839
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,249.504950495049,15.4894355414922
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,300.6600660066,33.0415773536116
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,349.339933993399,67.8604845020584
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,400.49504950495,90.0518015719097
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,500.3300330033,96.0310979551563
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,599.339933993399,90.412030893811
2.0,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,650.0,8.0,1000.0,1000.0,10.0,5.0,0.52,651.320132013201,74.71717532578
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,200.0,1.69082125603864
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,249.488054607508,1.93236714975844
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,298.976109215017,3.38164251207729
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,350.170648464163,9.17874396135265
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,397.952218430034,16.9082125603864
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,499.488054607508,33.5748792270531
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,599.317406143344,42.7536231884058
0.27,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,647.952218430034,46.3768115942029
0.57,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,200.0,1.44927536231884
0.57,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,251.194539249146,3.14009661835747
0.57,0.0,ZSM-5,14.0,500.0,3.0,20.0,10.0,0.0,800.0,8.0,1000.0,1000.0,10.0,5.0,0.52,299.829351535836,8.69565217391304
